year,month,day,hour,minute,second,datetime,event_id,latitude,longitude,depth_km,magnitude,err_x_m,err_y_m,err_z_m,err_h_m,in_tule,utm_x_m,utm_y_m
2024,9,5,9,48,18.62,2024-09-05 09:48:18.620,515,23.009275,-109.768286,10.932,1.9,176.5,88.4,133.3,197.40012664636265,True,626226.1037641885,2545076.894432286
2024,9,9,20,25,39.68,2024-09-09 20:25:39.680,1006,23.014561,-109.767244,10.837,2.0,210.1,95.7,144.6,230.8690104799689,True,626327.9761692218,2545663.0466118064
2024,9,22,1,44,47.54,2024-09-22 01:44:47.540,2324,23.014223,-109.767798,11.216,1.3,208.0,110.0,158.0,235.29555881911585,True,626271.5130117626,2545625.146416289
2024,9,27,7,40,1.22,2024-09-27 07:40:01.220,2649,23.012433,-109.769165,8.128,1.8,164.6,82.2,133.5,183.98369492974095,True,626133.0775045652,2545425.784141344
2024,9,29,1,6,52.35,2024-09-29 01:06:52.350,2895,23.003778,-109.758407,9.284,1.6,175.4,77.1,119.7,191.59741647527505,True,627243.7699035893,2544476.8212172077
2024,10,1,8,10,13.59,2024-10-01 08:10:13.590,3267,23.006907,-109.771167,8.516,1.1,189.3,91.5,147.2,210.2539892606083,True,625933.0252241875,2544812.236410404
2024,10,3,3,52,2.14,2024-10-03 03:52:02.140,3525,23.006185,-109.76285,8.921,1.9,193.5,91.4,130.8,214.0004906536431,True,626786.1334420441,2544739.4689171775
2024,10,3,8,36,22.32,2024-10-03 08:36:22.320,3575,23.013859,-109.7712,10.789,1.5,168.4,159.8,130.0,232.15210531029007,True,625923.1891520966,2545581.9172223085
2024,10,3,12,49,9.95,2024-10-03 12:49:09.950,3635,23.010191,-109.765088,8.835,1.4,182.9,94.0,129.9,205.64145982753575,True,626553.0158160478,2545181.070171208
2024,10,3,14,1,17.47,2024-10-03 14:01:17.470,3659,23.008659,-109.761735,8.647,1.7,189.0,90.8,128.6,209.67985120177855,True,626898.0996542166,2545014.349982346
2024,10,3,14,16,34.62,2024-10-03 14:16:34.620,3666,23.006824,-109.760913,8.49,1.0,174.7,86.7,121.6,195.03071552963135,True,626984.0654455432,2544811.894620673
2024,10,3,16,5,33.47,2024-10-03 16:05:33.470,3700,23.006708,-109.761287,8.846,1.4,201.4,93.6,133.9,222.08764035848552,True,626945.841555682,2544798.727341721
2024,10,3,18,56,9.32,2024-10-03 18:56:09.320,3717,23.003705,-109.764811,8.947,1.0,192.8,95.3,137.8,215.06726854637833,True,626587.4573526395,2544463.193776702
2024,10,4,3,34,33.35,2024-10-04 03:34:33.350,3750,23.007646,-109.764714,8.534,1.6,179.9,88.4,129.2,200.44592787083505,True,626593.7222129864,2544899.6163428994
2024,10,4,5,59,56.93,2024-10-04 05:59:56.930,3778,23.000181,-109.7646,8.816,1.8,247.9,126.4,175.2,278.26492772176664,True,626612.3717832608,2544073.2067072084
2024,10,4,7,4,51.2,2024-10-04 07:04:51.200,3786,23.003261,-109.76731,8.971,1.6,191.7,107.9,147.5,219.98022638410023,True,626331.7348372301,2544411.8791008377
2024,10,5,8,59,23.57,2024-10-05 08:59:23.570,3918,23.011155,-109.763151,9.248,1.5,188.0,99.2,132.2,212.56678950391097,True,626750.6391240695,2545289.4763780143
2024,10,6,1,13,45.63,2024-10-06 01:13:45.630,4005,23.005973,-109.784701,8.018,1.1,170.2,80.1,164.6,188.10648579993193,True,624546.7475801844,2544697.2611751896
2024,10,6,1,50,6.92,2024-10-06 01:50:06.920,4027,23.004175,-109.765755,9.238,1.2,178.2,78.7,133.4,194.8048510689608,True,626490.2635827521,2544514.4161559176
2024,10,6,5,23,35.73,2024-10-06 05:23:35.730,4048,23.005251,-109.763102,9.114,1.8,202.7,114.0,136.7,232.5581432674418,True,626761.1776828005,2544635.8404851016
2024,10,6,9,24,13.1,2024-10-06 09:24:13.100,4107,23.002303,-109.762101,8.834,1.6,187.7,88.2,130.6,207.38980206365017,True,626866.5307238436,2544310.3103905157
2024,10,6,11,56,14.91,2024-10-06 11:56:14.910,4143,23.000144,-109.760994,9.581,1.3,195.5,80.2,133.4,211.31088471728097,True,626982.0145644017,2544072.229106529
2024,10,6,12,27,52.08,2024-10-06 12:27:52.080,4150,22.998332,-109.782153,7.786,1.5,170.0,89.9,170.7,192.30707215284625,True,624814.9279697026,2543853.438302264
2024,10,6,15,21,9.96,2024-10-06 15:21:09.960,4175,23.000126,-109.781681,8.118,1.3,173.8,85.3,166.0,193.6040547096057,True,624861.6570259891,2544052.466885065
2024,10,7,0,10,20.3,2024-10-07 00:10:20.300,4201,23.004075,-109.769474,10.986,1.5,175.6,83.8,135.4,194.57080973260096,True,626109.1777839052,2544500.1397984596
2024,10,7,1,54,30.18,2024-10-07 01:54:30.180,4205,23.001013,-109.759033,8.526,1.4,185.3,92.9,128.4,207.2836221219612,True,627182.1991581691,2544170.142902466
2024,10,7,9,26,55.19,2024-10-07 09:26:55.190,4283,23.007377,-109.76237,8.78,1.2,208.5,103.1,135.4,232.5980653401915,True,626834.2159852523,2544871.8599320995
2024,10,7,12,33,55.36,2024-10-07 12:33:55.360,4305,23.012801,-109.766943,9.298,1.8,198.1,87.8,148.2,216.6851402380883,True,626360.464554538,2545468.442803392
2024,10,8,9,10,53.79,2024-10-08 09:10:53.790,4406,23.004309,-109.759668,8.889,1.3,184.8,95.6,122.5,208.06345186024384,True,627114.0256474604,2544534.518294456
2024,10,11,5,26,41.74,2024-10-11 05:26:41.740,4494,23.014803,-109.772559,11.753,1.5,183.6,94.9,137.2,206.67600247730743,True,625783.0330874552,2545685.267353641
2024,10,12,2,20,39.17,2024-10-12 02:20:39.170,4539,23.00097,-109.757056,9.478,2.0,184.5,78.8,120.4,200.62325388648247,True,627384.8772831393,2544167.0986299515
2024,10,12,2,30,50.56,2024-10-12 02:30:50.560,4548,23.006606,-109.76005,9.006,1.4,220.7,112.3,133.3,247.62831017474556,True,627072.721214786,2544788.5061159967
2024,10,12,2,51,32.16,2024-10-12 02:51:32.160,4554,22.995404,-109.755737,9.284,1.4,180.9,65.3,118.8,192.32498537631557,True,627525.3012906559,2543551.989319039
2024,10,12,3,45,44.3,2024-10-12 03:45:44.300,4573,23.00403,-109.767065,8.581,1.4,182.4,85.5,137.6,201.44480633662417,True,626356.1301760741,2544497.23218284
2024,10,12,4,56,12.33,2024-10-12 04:56:12.330,4583,23.009033,-109.771167,8.104,1.4,174.9,84.5,140.8,194.24278622383895,True,625931.0517196091,2545047.6220877566
2024,10,12,6,13,32.57,2024-10-12 06:13:32.570,4599,23.002336,-109.756836,9.779,1.6,197.4,93.1,129.7,218.25299539754317,True,627406.144287701,2544318.530557147
2024,10,12,6,13,46.32,2024-10-12 06:13:46.320,4600,23.015761,-109.767643,11.973,1.5,188.2,97.4,130.6,211.91035840656775,True,626285.9663596997,2545795.5640240423
2024,10,12,6,43,54.1,2024-10-12 06:43:54.100,4611,23.011151,-109.774967,8.118,1.3,175.7,83.9,149.7,194.70413452209996,True,625539.6252322999,2545278.8614220363
2024,10,12,7,30,57.98,2024-10-12 07:30:57.980,4630,23.00588,-109.773047,8.627,1.2,191.0,88.7,151.0,210.5912866193661,True,625741.290630078,2544696.9152822806
2024,10,12,8,57,29.41,2024-10-12 08:57:29.410,4662,23.005023,-109.771802,8.619,1.6,191.1,86.3,150.1,209.68285576078935,True,625869.6901189089,2544603.0989851616
2024,10,12,10,32,33.49,2024-10-12 10:32:33.490,4680,23.011336,-109.768368,9.0,1.4,193.5,96.8,138.5,216.36194212476465,True,626215.7817834355,2545305.0130661675
2024,10,12,10,58,41.68,2024-10-12 10:58:41.680,4685,23.006187,-109.76613,9.212,1.3,178.6,89.8,131.9,199.90497742677644,True,626449.9528310117,2544736.856673816
2024,10,19,4,11,8.6,2024-10-19 04:11:08.600,5087,23.016504,-109.768254,8.083,1.1,171.2,84.5,130.2,190.91801905530028,True,626222.6557247336,2545877.3008148535
2024,10,19,4,40,15.1,2024-10-19 04:40:15.100,5091,23.014331,-109.772355,10.213,1.5,203.0,94.3,153.4,223.83362124578156,True,625804.3782320672,2545633.183762605
2024,10,19,9,14,50.45,2024-10-19 09:14:50.450,5124,23.001731,-109.771737,8.693,1.4,99.1,77.6,68.5,125.8672713615418,True,625879.4061142065,2544238.6726313583
2024,11,3,11,49,14.81,2024-11-03 11:49:14.810,5664,22.998527,-109.763289,8.133,1.9,188.9,96.2,146.2,211.98502305587533,True,626748.2914176643,2543891.212439846
2024,12,2,12,44,41.74,2024-12-02 12:44:41.740,6126,23.006201,-109.766081,8.685,1.7,187.0,94.8,144.8,209.6569579098199,True,626454.9619626406,2544738.448999359
2024,12,2,13,13,9.17,2024-12-02 13:13:09.170,6127,23.012649,-109.772087,6.728,2.2,174.6,82.4,173.7,193.06713858137536,True,625833.4053269526,2545447.1867789645
2025,1,1,17,21,45.82,2025-01-01 17:21:45.820,15,23.009977,-109.763737,11.396,1.5,161.1,105.0,115.8,192.2971918671721,True,626691.6803432788,2545158.543942193
2025,1,10,18,22,40.4,2025-01-10 18:22:40.400,176,22.997998,-109.775871,7.901,2.2,197.6,153.8,181.1,250.40007987219172,True,625459.1358294695,2543821.8206384564
2025,1,13,9,3,50.44,2025-01-13 09:03:50.440,222,23.006726,-109.783,6.419,1.5,153.9,130.6,221.1,201.8454111442715,True,624720.3962426661,2544782.077762353
2025,1,13,9,10,41.88,2025-01-13 09:10:41.880,223,23.005052,-109.778939,7.103,2.8,166.2,148.7,215.0,223.01150194552744,True,625138.1629345813,2544600.198518641
2025,1,14,13,0,50.98,2025-01-14 13:00:50.980,253,22.997249,-109.770313,2.382,1.7,127.5,149.2,205.1,196.25720368944425,True,626029.5233797149,2543743.660154102
2025,1,23,6,42,39.33,2025-01-23 06:42:39.330,331,23.004218,-109.762329,5.398,2.1,204.7,126.1,255.9,240.42316860069872,True,626841.3714331817,2544522.137708123
2025,1,24,1,39,18.87,2025-01-24 01:39:18.870,357,22.994088,-109.762695,8.836,1.9,233.4,146.2,195.4,275.40878707840824,True,626813.3230586092,2543400.25014686
2025,1,29,17,9,35.86,2025-01-29 17:09:35.860,375,23.008238,-109.773022,4.0,1.7,168.6,109.1,241.4,200.82024300353785,True,625741.6674929995,2544958.0087425155
2025,1,29,18,28,26.62,2025-01-29 18:28:26.620,376,23.007857,-109.763249,1.823,2.0,196.9,164.8,233.7,256.76574927353533,True,626743.6764963699,2544924.2440463216
2025,2,1,12,36,34.88,2025-02-01 12:36:34.880,400,23.005011,-109.767,0.508,2.6,214.1,141.3,121.2,256.5238780308765,True,626361.8787622504,2544605.9022850967
2025,2,1,14,18,36.17,2025-02-01 14:18:36.170,402,23.010498,-109.764152,0.613,1.7,218.8,152.7,137.5,266.8159103202056,True,626648.6602783386,2545215.869214639
2025,2,5,22,2,54.84,2025-02-05 22:02:54.840,447,23.012026,-109.765129,0.464,1.9,167.6,158.9,131.0,230.9523110947366,True,626547.1017323744,2545384.2020094027
2025,2,13,20,51,52.32,2025-02-13 20:51:52.320,495,23.009229,-109.766838,1.79,1.7,207.5,177.1,237.7,272.8015029284113,True,626374.5537331115,2545073.0493980134
2025,2,13,23,28,35.72,2025-02-13 23:28:35.720,496,23.003133,-109.768132,6.714,1.5,216.5,142.6,301.0,259.24314841476524,True,626247.6025073586,2544396.9990219036
2025,2,15,6,44,22.44,2025-02-15 06:44:22.440,524,23.009727,-109.762712,2.211,1.5,154.7,133.1,174.9,204.0776812882781,True,626796.9669823867,2545131.751013045
2025,2,15,12,16,11.05,2025-02-15 12:16:11.050,542,22.994865,-109.772249,3.768,1.8,118.8,83.8,236.2,145.38184205739037,True,625833.2931672324,2543478.046920909
2025,2,16,6,9,28.8,2025-02-16 06:09:28.800,549,22.992287,-109.770947,5.661,2.2,136.0,88.6,126.2,162.31438630016748,True,625969.1427108209,2543193.7352836453
2025,2,19,7,11,9.77,2025-02-19 07:11:09.770,572,22.999396,-109.755705,11.803,1.8,121.9,104.6,108.3,160.62618092951098,True,627524.830670813,2543994.0031606033
2025,2,19,13,25,58.52,2025-02-19 13:25:58.520,583,23.000883,-109.75874,11.38,2.4,187.0,128.8,149.2,227.064836555553,True,627212.3528104522,2544156.00381079
2025,2,24,22,54,14.12,2025-02-24 22:54:14.120,791,22.999373,-109.76014,11.244,2.0,207.9,158.8,160.1,261.61011066088406,True,627070.2698994068,2543987.6056386246
2025,2,25,2,41,59.24,2025-02-25 02:41:59.240,796,22.994055,-109.757104,11.005,1.7,199.0,153.0,182.0,251.01792764661252,True,627386.4470993569,2543401.442650075
2025,2,25,12,13,55.3,2025-02-25 12:13:55.300,837,23.000604,-109.768677,11.136,1.9,219.9,163.8,190.2,274.20147702009194,True,626194.0941052525,2544116.5248645255
2025,2,25,12,35,12.23,2025-02-25 12:35:12.230,839,23.007914,-109.777555,10.012,1.7,217.7,166.6,229.8,274.1329057227534,True,625277.3719104643,2544918.2540922863
2025,2,25,16,4,2.37,2025-02-25 16:04:02.370,847,23.001506,-109.77015,8.69,2.0,221.9,158.8,200.0,272.8681916237215,True,626042.2773769181,2544215.1248578313
2025,2,26,9,37,57.34,2025-02-26 09:37:57.340,869,23.010038,-109.766317,11.717,2.6,159.9,117.1,157.0,198.1928858460868,True,626427.1976402132,2545163.0694818785
2025,3,6,5,35,31.12,2025-03-06 05:35:31.120,932,23.005178,-109.759351,10.891,2.5,158.3,84.7,96.6,179.53545610825736,True,627145.7022646387,2544631.0071269358
2025,3,6,6,27,25.07,2025-03-06 06:27:25.070,935,22.997437,-109.759172,10.066,2.0,183.1,139.3,210.6,230.065425477189,True,627171.3027081324,2543774.0952429436
2025,3,10,4,16,54.54,2025-03-10 04:16:54.540,949,22.999245,-109.754688,5.177,1.7,180.1,121.6,124.8,217.30754703875337,True,627629.214054197,2543978.1697672443
2025,3,22,6,51,33.77,2025-03-22 06:51:33.770,1000,22.996358,-109.757576,4.083,2.3,195.4,120.8,509.2,229.72548835512353,True,627335.9054091279,2543656.01590153
2025,3,22,7,22,43.96,2025-03-22 07:22:43.960,1001,22.994523,-109.766146,1.822,1.9,183.6,102.1,130.4,210.0794373564438,True,626459.1811466228,2543445.431938063
2025,3,23,2,22,9.42,2025-03-23 02:22:09.420,1012,22.998415,-109.754647,4.992,1.8,195.1,89.7,156.2,214.7326244425844,True,627634.1970499295,2543886.3095312766
2025,3,24,13,32,18.42,2025-03-24 13:32:18.420,1018,22.990908,-109.764217,7.58,1.7,171.2,124.2,190.5,211.50669020151585,True,626660.2806802087,2543046.8526424626
2025,3,30,2,50,1.71,2025-03-30 02:50:01.710,1087,23.014421,-109.767155,10.941,1.6,182.1,114.3,153.3,214.9997674417347,True,626337.2279400796,2545647.6228577993
2025,3,30,17,8,34.0,2025-03-30 17:08:34.000,1093,23.012695,-109.764941,12.726,1.7,103.2,97.2,89.0,141.7676973079552,True,626565.7454065315,2545458.4346412397
2025,4,1,11,25,31.04,2025-04-01 11:25:31.040,1118,22.986977,-109.772347,2.7,1.8,172.4,104.6,133.8,201.6504897092987,True,625830.5580107516,2542604.624235443
2025,4,2,9,15,37.48,2025-04-02 09:15:37.480,1130,22.9909,-109.773535,6.314,1.8,182.6,105.2,280.9,210.7363281449119,True,625705.147003446,2543037.9495669464
2025,4,4,10,39,12.37,2025-04-04 10:39:12.370,1162,23.004417,-109.765568,10.892,1.7,215.1,158.7,209.4,267.3082490309642,True,626509.2045175957,2544541.3712394554
2025,4,28,15,56,12.53,2025-04-28 15:56:12.530,1198,23.009497,-109.769971,10.55,2.2,161.5,112.9,95.1,197.0498921593209,True,626053.2000393879,2545100.0233590454
2025,4,29,0,46,14.22,2025-04-29 00:46:14.220,1215,23.002146,-109.771468,11.385,1.7,168.0,120.2,89.4,206.5721181573157,True,625906.5926828651,2544284.8514328483
2025,4,29,0,59,41.47,2025-04-29 00:59:41.470,1217,23.008549,-109.761499,12.702,2.0,94.6,97.9,91.0,136.1380549295457,True,626922.390618415,2545002.375389499
2025,4,29,8,30,27.62,2025-04-29 08:30:27.620,1233,23.002891,-109.757812,12.176,1.6,121.6,96.9,97.7,155.4868804754922,True,627305.5869051105,2544379.131041299
2025,4,29,16,14,58.16,2025-04-29 16:14:58.160,1249,22.998374,-109.765967,1.341,1.8,189.2,142.9,158.3,237.1013496376602,True,626473.9408524478,2543871.959900144
2025,4,29,17,43,58.32,2025-04-29 17:43:58.320,1257,23.012608,-109.765487,12.794,2.1,92.3,99.6,90.5,135.79193643217553,True,626509.8677907819,2545448.3306570374
2025,4,29,18,9,13.22,2025-04-29 18:09:13.220,1258,23.013436,-109.765535,12.655,2.2,92.1,98.6,89.2,134.92357095778334,True,626504.176041889,2545539.9636011627
2025,4,29,23,15,17.72,2025-04-29 23:15:17.720,1271,23.007662,-109.765007,12.093,2.4,163.5,110.5,106.8,197.3385415979352,True,626563.6770113509,2544901.1347607714
2025,4,30,3,7,32.22,2025-04-30 03:07:32.220,1282,23.001288,-109.75839,10.798,1.7,216.7,146.1,166.9,261.350530896725,True,627247.8472475967,2544201.148334713
2025,4,30,3,35,36.75,2025-04-30 03:35:36.750,1285,22.998775,-109.757552,10.834,1.5,209.0,162.6,184.5,264.8013595131264,True,627336.0979031551,2543923.641876434
2025,4,30,5,54,53.86,2025-04-30 05:54:53.860,1296,23.007471,-109.764665,11.257,1.7,189.9,142.6,241.2,237.4800412666294,True,626598.9076458942,2544880.2830535197
2025,4,30,8,33,29.03,2025-04-30 08:33:29.030,1310,23.00401,-109.775675,10.663,1.7,176.3,133.9,112.8,221.3840554330867,True,625473.667028975,2544487.6214120244
2025,4,30,10,15,23.47,2025-04-30 10:15:23.470,1315,23.00215,-109.759993,11.834,2.0,136.5,98.9,101.5,168.5629259356873,True,627082.7367295763,2544295.196551512
2025,4,30,11,48,1.08,2025-04-30 11:48:01.080,1321,23.002203,-109.757935,12.561,1.9,81.6,95.6,92.1,125.68977683168984,True,627293.6252615195,2544302.850277074
2025,4,30,12,44,49.99,2025-04-30 12:44:49.990,1325,23.014284,-109.766414,12.255,2.1,117.7,98.2,93.8,153.2857788576618,True,626413.2986782796,2545633.093669559
2025,4,30,15,25,15.34,2025-04-30 15:25:15.340,1334,23.008191,-109.76097,11.584,1.8,148.2,97.5,101.7,177.39642048248888,True,626976.9438779887,2544963.1966291275
2025,5,8,22,38,1.72,2025-05-08 22:38:01.720,1355,22.996187,-109.773291,6.273,1.8,194.9,123.4,290.5,230.68066672350332,True,625725.2618140336,2543623.521491481
2025,5,9,3,14,43.55,2025-05-09 03:14:43.550,1357,23.014233,-109.765552,12.699,1.7,92.0,61.6,63.5,110.71838149106048,True,626501.69035117,2545628.1910652434
2025,5,9,7,4,41.53,2025-05-09 07:04:41.530,1360,23.006323,-109.760734,11.193,2.1,201.9,117.6,151.6,233.6522415899321,True,627002.8807048484,2544756.5800515823
2025,5,9,8,20,57.74,2025-05-09 08:20:57.740,1361,23.007102,-109.764795,11.232,1.9,236.7,124.5,175.3,267.4455832501258,True,626585.927915118,2544839.3158903085
2025,5,9,8,21,13.41,2025-05-09 08:21:13.410,1362,23.002751,-109.760197,11.058,2.2,165.5,125.8,153.0,207.88431879292867,True,627061.2646585617,2544361.5611494803
2025,5,9,9,52,14.11,2025-05-09 09:52:14.110,1363,22.998431,-109.755265,12.017,1.9,113.6,96.1,98.9,148.79573246568597,True,627570.8372271055,2543887.54313054
2025,5,9,10,49,19.25,2025-05-09 10:49:19.250,1366,23.009349,-109.76189,11.38,1.8,163.2,105.8,108.1,194.493907359588,True,626881.568064001,2545090.611131272
2025,5,9,11,9,18.25,2025-05-09 11:09:18.250,1367,23.00356,-109.760409,11.721,1.8,167.8,119.2,114.3,205.828763781936,True,627038.7780582651,2544450.9481598623
2025,5,9,11,50,31.01,2025-05-09 11:50:31.010,1370,23.004995,-109.762004,11.706,1.9,162.3,107.4,105.2,194.61770217531603,True,626873.9557832151,2544608.4467632575
2025,5,9,19,40,50.16,2025-05-09 19:40:50.160,1376,22.999567,-109.758317,12.296,1.7,145.3,104.3,106.5,178.85910656156148,True,627256.9433261929,2544010.666194951
2025,5,9,23,56,1.84,2025-05-09 23:56:01.840,1380,23.000909,-109.760132,11.688,1.7,133.4,101.3,108.4,167.50298504802834,True,627069.6517172155,2544157.6751828436
2025,5,10,2,22,30.6,2025-05-10 02:22:30.600,1383,23.001143,-109.758773,11.522,1.8,186.6,128.9,131.9,226.7923499591642,True,627208.7266705077,2544184.76182703
2025,5,10,2,25,23.44,2025-05-10 02:25:23.440,1384,23.001375,-109.758521,11.51,1.7,198.2,129.1,132.0,236.53762914174987,True,627234.3385213101,2544210.6670840085
2025,5,10,9,6,11.08,2025-05-10 09:06:11.080,1387,22.999123,-109.759285,11.431,2.0,127.5,99.2,106.6,161.54531871892792,True,627158.1406003262,2543960.6675189715
2025,5,10,11,18,25.62,2025-05-10 11:18:25.620,1389,23.007251,-109.782674,11.644,1.7,149.2,112.6,96.2,186.92083885966272,True,624753.3260804281,2544840.4817961697
2025,5,10,12,47,59.55,2025-05-10 12:47:59.550,1390,23.004004,-109.761344,11.765,1.8,146.6,100.9,104.8,177.96732846227704,True,626942.5292929224,2544499.296825338
2025,5,10,13,3,48.28,2025-05-10 13:03:48.280,1391,23.00614,-109.761222,12.012,1.8,167.0,106.3,103.6,197.9613346085543,True,626953.0351085196,2544735.89587965
2025,5,10,13,19,56.15,2025-05-10 13:19:56.150,1392,23.005707,-109.765609,11.752,1.8,186.0,121.2,118.2,222.003243219553,True,626503.7994844333,2544684.1617506184
2025,5,10,15,23,11.25,2025-05-10 15:23:11.250,1393,23.00624,-109.761873,11.615,1.7,182.2,115.4,108.2,215.67104580819372,True,626886.2182300641,2544746.4039115272
2025,5,10,16,11,26.09,2025-05-10 16:11:26.090,1395,22.999422,-109.756673,11.861,1.5,114.3,111.3,109.4,159.5373937357634,True,627425.5873477106,2543996.0401165993
2025,5,10,16,13,59.74,2025-05-10 16:13:59.740,1396,23.000232,-109.758537,12.376,2.3,118.6,100.0,99.1,155.13207276382275,True,627233.770173711,2544084.1026363457
2025,5,10,16,29,30.73,2025-05-10 16:29:30.730,1397,22.999898,-109.758512,12.059,1.8,114.3,100.0,101.5,151.86997728320102,True,627236.6457637296,2544047.1445587487
2025,5,10,16,45,46.1,2025-05-10 16:45:46.100,1398,23.000346,-109.758968,12.244,1.8,111.9,98.5,100.4,149.07669167244086,True,627189.4866201915,2544096.350467345
2025,5,10,16,48,38.89,2025-05-10 16:48:38.890,1399,23.005314,-109.763534,11.534,1.8,185.3,121.0,138.4,221.30768174647713,True,626716.841325288,2544642.4421486673
